generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,success_rate,champion_id,elite_ids
0,-31.72625160217285,-33.36375427246094,-37.2025032043457,62.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.53125,53.125,0.0,26.15625,26.15625,0.0,4,4 0
1,-22.3565673828125,-23.99694061279297,-27.850067138671875,61.20000076293945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40625,46.28125,52.3125,0.0,24.5,24.5,0.0,4,4 2
2,-19.48906707763672,-19.858566284179688,-24.386377334594727,71.9937515258789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15625,43.78125,51.78125,0.0,22.78125,22.78125,0.0,4,4 3
3,-20.363441467285156,-21.044816970825195,-25.208253860473633,66.0562515258789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78125,43.59375,51.59375,0.0,17.1875,17.1875,0.0,4,4 2
4,-5.725316524505615,-8.409440040588379,-13.120691299438477,72.51249694824219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03125,47.0625,51.34375,0.0,16.0625,16.0625,0.0,4,4 2
5,4.799055576324463,2.7859339714050293,-2.0568783283233643,75.59375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.90625,52.0625,50.875,0.0,15.25,15.25,0.0,4,4 0
6,1.532183051109314,0.38855916261672974,-4.262690544128418,72.6624984741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65625,51.09375,51.40625,0.0,13.9375,13.9375,0.0,4,4 3
7,5.611244201660156,3.46612548828125,-1.390124797821045,76.6500015258789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6875,51.75,51.0625,0.0,12.875,12.875,0.0,4,4 3
8,7.236876487731934,5.6476263999938965,0.6510637998580933,75.3812484741211,1.0,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.03125,6.125,52.625,51.28125,0.0,14.96875,14.96875,0.0,2,2 4
9,5.552809238433838,4.421811103820801,-0.9003762006759644,83.60624694824219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,52.875,51.125,0.0,14.84375,14.84375,0.0,4,4 2
