generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,success_rate,champion_id,elite_ids
0,-23.77812957763672,-24.043128967285156,-26.781002044677734,64.26249694824219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,47.375,53.03125,0.0,27.125,27.125,0.0,2,2 3
1,-33.187503814697266,-34.46375274658203,-37.26237869262695,64.7874984741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,38.03125,52.3125,0.0,26.90625,26.90625,0.0,4,4 2
2,-27.415630340576172,-28.52187728881836,-31.141254425048828,62.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0625,41.40625,51.9375,0.0,21.1875,21.1875,0.0,2,2 4
3,-13.670312881469727,-14.567190170288086,-17.673128128051758,70.71875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46875,44.46875,50.28125,0.0,21.78125,21.78125,0.0,0,0 3
4,-11.539061546325684,-12.777189254760742,-15.553314208984375,66.0999984741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40625,48.40625,51.125,0.0,17.78125,17.78125,0.0,4,4 0
5,-10.7578125,-11.805935859680176,-15.100311279296875,74.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84375,41.96875,50.15625,0.0,18.65625,18.65625,0.0,4,4 3
6,-7.634358882904053,-9.281866073608398,-12.726866722106934,79.75,1.0,0.0,0.03125,0.0625,0.03125,0.0,0.0,0.0,0.03125,5.5,42.5,48.21875,0.0,17.75,17.75,0.0,4,4 3
7,-1.2624784708023071,-2.2906060218811035,-5.922418594360352,86.89375305175781,1.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,5.0,45.5,46.40625,0.0,18.15625,18.15625,0.0,4,4 3
8,-7.457786560058594,-9.484670639038086,-13.525983810424805,88.10624694824219,1.0,0.0,0.15625,0.28125,0.125,0.0,0.0,0.0,0.15625,6.03125,34.5625,45.625,0.0,17.84375,17.84375,0.0,2,2 4
9,6.46878719329834,4.267533302307129,-0.03209203481674194,92.73750305175781,1.0,0.0,0.21875,0.34375,0.125,0.0,0.0,0.0,0.21875,6.0,42.0625,44.625,0.0,18.21875,18.21875,0.0,2,2 4
10,15.146933555603027,7.070664405822754,2.4679770469665527,98.8812484741211,1.0,0.0,0.25,0.46875,0.21875,0.0,0.0,0.0,0.25,6.3125,40.40625,43.5,0.0,23.0,23.0,0.0,4,4 2
11,16.126617431640625,12.372236251831055,7.376485347747803,102.7125015258789,1.0,0.0,0.375,0.65625,0.28125,0.0,0.0,0.0,0.375,6.46875,40.59375,42.5,0.0,14.4375,14.4375,0.0,4,4 2
12,7.9359846115112305,6.129096984863281,1.833097219467163,93.01249694824219,1.0,0.0,0.1875,0.3125,0.125,0.0,0.0,0.0,0.1875,6.28125,41.40625,44.875,0.0,12.6875,12.6875,0.0,4,4 2
13,10.087532043457031,7.208160400390625,2.1886603832244873,106.5250015258789,1.0,0.0,0.34375,0.625,0.28125,0.0,0.0,0.0,0.34375,6.3125,41.8125,43.5625,0.0,13.96875,13.96875,0.0,2,2 4
14,24.78756332397461,22.325057983398438,17.20362091064453,104.2562484741211,1.0,0.0,0.40625,0.6875,0.28125,0.0,0.0,0.0,0.40625,6.5625,45.5,42.78125,0.0,11.1875,11.1875,0.0,4,4 2
15,19.06879425048828,16.678157806396484,12.451720237731934,95.2562484741211,1.0,0.0,0.09375,0.15625,0.0625,0.0,0.0,0.0,0.09375,6.5625,48.5625,45.8125,0.0,7.78125,7.78125,0.0,4,4 2
16,21.106319427490234,20.265682220458984,14.994245529174805,109.2562484741211,1.0,0.0,0.40625,0.78125,0.375,0.0,0.0,0.0,0.40625,6.5625,46.15625,43.75,0.0,8.125,8.125,0.0,2,2 1
17,33.401649475097656,30.81288719177246,24.871448516845703,115.6937484741211,1.0,0.0,0.625,1.25,0.625,0.0,0.0,0.0,0.625,6.78125,41.8125,40.1875,0.0,12.15625,12.15625,0.0,2,2 1
18,27.862573623657227,25.771316528320312,20.396442413330078,107.4124984741211,1.0,0.0,0.46875,0.9375,0.46875,0.0,0.0,0.0,0.46875,6.75,43.34375,41.625,0.0,9.09375,9.09375,0.0,4,4 2
19,35.262569427490234,32.3988151550293,26.6170654296875,107.3499984741211,1.0,0.0,0.65625,1.28125,0.625,0.0,0.0,0.0,0.65625,6.9375,40.8125,39.03125,0.0,7.40625,7.40625,0.0,4,4 2
20,34.40632629394531,29.21256446838379,23.231563568115234,110.19999694824219,1.0,0.0,0.71875,1.40625,0.6875,0.0,0.0,0.0,0.71875,6.875,38.1875,38.375,0.0,8.875,8.875,0.0,4,4 3
21,43.61256408691406,39.61481857299805,33.60512924194336,100.45625305175781,1.0,0.0,0.90625,1.8125,0.90625,0.0,0.0,0.0,0.90625,6.574999809265137,37.3125,36.8125,0.0,10.25,10.25,0.0,4,4 0
22,44.22510528564453,43.391334533691406,36.84633255004883,115.75,1.0,0.0,0.90625,1.8125,0.90625,0.0,0.0,0.0,0.90625,7.0,37.4375,35.625,0.0,13.34375,13.34375,0.0,2,2 3
23,44.20478057861328,39.664894104003906,33.132205963134766,113.66874694824219,1.0,0.0,0.9375,1.8125,0.875,0.0,0.0,0.0,0.9375,6.931250095367432,35.125,34.5625,0.0,14.90625,14.90625,0.0,0,0 3
24,45.3250846862793,42.05697250366211,35.489845275878906,122.73750305175781,1.0,0.0,0.8125,1.625,0.8125,0.0,0.0,0.0,0.8125,7.0,36.71875,35.28125,0.0,13.53125,13.53125,0.0,1,1 0
25,43.123531341552734,37.65666198730469,31.24472427368164,123.04374694824219,1.0,0.0,0.75,1.5,0.75,0.0,0.0,0.0,0.75,6.78125,39.5625,38.0625,0.0,8.9375,8.9375,0.0,0,0 3
26,48.4672966003418,40.637908935546875,34.171661376953125,120.6875,1.0,0.0,0.8125,1.625,0.8125,0.0,0.0,0.0,0.8125,6.78125,38.875,37.125,0.0,10.96875,10.96875,0.0,2,2 4
27,55.83449172973633,51.756996154785156,44.57880401611328,130.6062469482422,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,34.5625,33.15625,0.0,11.96875,11.96875,0.0,1,1 3
28,54.203216552734375,49.84136199951172,42.6153678894043,132.1999969482422,1.0,0.0,1.0,1.96875,0.96875,0.0,0.0,0.0,1.0,7.0,34.375,32.8125,0.0,13.0625,13.0625,0.0,1,1 3
29,53.42980194091797,48.831668853759766,42.01960372924805,123.8812484741211,1.0,0.0,0.9375,1.875,0.9375,0.0,0.0,0.0,0.9375,6.78125,35.3125,33.6875,0.0,8.78125,8.78125,0.0,2,2 4
30,57.57822799682617,52.372596740722656,45.791160583496094,114.8812484741211,1.0,0.0,0.9375,1.875,0.9375,0.0,0.0,0.0,0.9375,7.0,35.03125,34.125,0.0,8.4375,8.4375,0.0,4,4 0
31,58.38447952270508,54.24135208129883,47.572723388671875,117.7874984741211,1.0,0.0,0.9375,1.84375,0.90625,0.0,0.0,0.0,0.9375,7.0,34.46875,33.4375,0.0,8.3125,8.3125,0.0,2,2 4
32,62.45011901855469,53.70698165893555,46.81967544555664,122.9937515258789,1.0,0.0,0.96875,1.9375,0.96875,0.0,0.0,0.0,0.96875,7.0,33.84375,33.40625,0.0,9.84375,9.84375,0.0,4,4 1
33,52.228240966796875,49.744483947753906,42.91729736328125,125.15625,1.0,0.0,0.90625,1.78125,0.875,0.0,0.0,0.0,0.90625,7.0,34.46875,33.84375,0.0,8.71875,8.71875,0.0,3,3 4
34,52.68605422973633,47.912925720214844,40.941551208496094,131.27499389648438,1.0,0.0,0.90625,1.75,0.84375,0.0,0.0,0.0,0.90625,6.78125,35.75,34.4375,0.0,9.53125,9.53125,0.0,3,3 1
35,52.895423889160156,47.90979766845703,41.29011154174805,123.71875,1.0,0.0,0.84375,1.6875,0.84375,0.0,0.0,0.0,0.84375,6.78125,36.625,35.59375,0.0,7.21875,7.21875,0.0,3,3 4
36,49.770423889160156,45.67542266845703,38.97492599487305,126.4124984741211,1.0,0.0,0.84375,1.65625,0.8125,0.0,0.0,0.0,0.84375,6.78125,36.9375,35.5,0.0,5.28125,5.28125,0.0,3,3 2
37,50.62509536743164,41.87884521484375,35.41234588623047,123.55000305175781,1.0,0.0,0.75,1.46875,0.71875,0.0,0.0,0.0,0.75,7.0,38.21875,36.6875,0.0,6.53125,6.53125,0.0,2,2 1
38,49.15632247924805,40.22257614135742,34.04832077026367,113.5999984741211,1.0,0.0,0.78125,1.5625,0.78125,0.0,0.0,0.0,0.78125,6.6875,40.0625,37.71875,0.0,5.40625,5.40625,0.0,2,2 4
39,54.5438232421875,46.31632614135742,40.155826568603516,102.7249984741211,1.0,0.0,0.9375,1.84375,0.90625,0.0,0.0,0.0,0.9375,6.6875,35.3125,35.28125,0.0,4.375,4.375,0.0,3,3 0
40,50.998531341552734,47.16640090942383,40.73789596557617,109.3125,1.0,0.0,0.96875,1.9375,0.96875,0.0,0.0,0.0,0.96875,6.731249809265137,34.40625,33.9375,0.0,6.625,6.625,0.0,1,1 4
41,53.16101837158203,49.5776481628418,43.1859016418457,107.7125015258789,1.0,0.0,0.96875,1.9375,0.96875,0.0,0.0,0.0,0.96875,6.793749809265137,36.03125,34.84375,0.0,5.90625,5.90625,0.0,4,4 1
42,52.52290344238281,45.60790252685547,39.191650390625,111.0625,1.0,0.0,0.9375,1.875,0.9375,0.0,0.0,0.0,0.9375,6.71875,33.34375,34.03125,0.0,6.15625,6.15625,0.0,4,4 1
43,57.64853286743164,48.45177459716797,42.06721115112305,109.48124694824219,1.0,0.0,0.9375,1.875,0.9375,0.0,0.0,0.0,0.9375,6.806250095367432,35.71875,33.71875,0.0,4.8125,4.8125,0.0,4,4 3
44,58.220394134521484,51.690406799316406,45.255775451660156,110.17500305175781,1.0,0.0,0.9375,1.875,0.9375,0.0,0.0,0.0,0.9375,6.96875,35.03125,33.78125,0.0,4.53125,4.53125,0.0,3,3 4
45,47.32039260864258,42.062007904052734,36.20250701904297,100.38749694824219,1.0,0.0,0.8125,1.625,0.8125,0.0,0.0,0.0,0.8125,6.793749809265137,37.78125,36.4375,0.0,4.3125,4.3125,0.0,2,2 3
46,61.368812561035156,53.64982986450195,47.46120834350586,101.7125015258789,1.0,0.0,0.9375,1.875,0.9375,0.0,0.0,0.0,0.9375,7.012499809265137,35.1875,33.96875,0.0,4.8125,4.8125,0.0,3,3 2
47,68.14697265625,57.86635208129883,51.309539794921875,109.89375305175781,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,33.40625,32.25,0.0,4.21875,4.21875,0.0,3,3 4
48,68.54853057861328,58.0457763671875,51.6734619140625,103.85624694824219,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,6.981249809265137,33.03125,32.09375,0.0,2.625,2.625,0.0,4,4 2
49,60.021995544433594,56.4788703918457,49.49024200439453,124.2874984741211,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,33.96875,32.75,0.0,4.65625,4.65625,0.0,3,3 4
50,63.45011901855469,55.2913703918457,48.22736740112305,126.80000305175781,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,33.46875,31.6875,0.0,3.8125,3.8125,0.0,4,4 2
51,56.336029052734375,52.677276611328125,46.354148864746094,105.125,1.0,0.0,0.96875,1.9375,0.96875,0.0,0.0,0.0,0.96875,6.84375,36.15625,34.0625,0.0,3.1875,3.1875,0.0,3,3 4
