generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,mean_boss_damage,mean_boss_hits,mean_boss_health_remaining,mean_floor5_entry_alive,mean_floor5_entry_power_score,mean_alive_attack_bonus,mean_alive_range_bonus,mean_powered_agent_deaths,mean_miniboss_defeated,success_rate,champion_id,elite_ids
0,-25.796875,-25.796875,-27.615154266357422,60.609375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.03125,52.5,0.0,24.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4 3
1,-24.756250381469727,-24.756250381469727,-26.823436737060547,68.90625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.28125,50.953125,0.0,27.796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4 3
2,-25.192813873291016,-25.7161865234375,-28.275409698486328,83.81562805175781,1.0,0.0,0.015625,0.015625,0.0,0.0,0.0,0.0,0.015625,0.07500000298023224,49.203125,48.421875,0.0,34.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,1,1 0
3,-24.834142684936523,-25.808643341064453,-28.923175811767578,100.5250015258789,1.0,0.0,0.03125,0.046875,0.015625,0.0,0.0,0.0,0.03125,0.20156249403953552,48.3125,46.734375,0.0,39.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,2,2 3
4,-23.691564559936523,-24.616376876831055,-27.652782440185547,99.5718765258789,1.0,0.0,0.015625,0.03125,0.015625,0.0,0.0,0.0,0.015625,0.10000000149011612,48.28125,46.921875,0.0,35.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,3,3 4
5,-20.715625762939453,-22.109375,-24.938907623291016,85.984375,1.0,0.0,0.125,0.1875,0.0625,0.0,0.0,0.0,0.125,0.0,49.125,47.703125,0.0,28.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,3,3 1
6,-11.946868896484375,-18.62187385559082,-22.92953109741211,123.796875,1.0,0.0,0.296875,0.546875,0.25,0.0,0.0,0.0,0.296875,0.0,43.125,41.65625,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,3,3 0
7,-2.8031113147735596,-12.440619468688965,-17.2020263671875,123.296875,1.0,0.0,0.53125,1.0,0.46875,0.0,0.0,0.0,0.53125,0.0,41.28125,39.984375,0.0,44.453125,0.0,0.0,0.0,0.0,0.0,0.0,0.234375,0.0,0.0,0.0,0.0,3,3 4
8,11.150019645690918,-5.574992656707764,-11.213899612426758,133.796875,1.0,0.0,0.8125,1.59375,0.78125,0.0,0.0,0.0,0.8125,0.0,39.140625,37.734375,0.0,49.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.390625,0.0,0.0,0.0,0.0,3,3 4
9,16.356277465820312,0.3812639117240906,-5.261236190795898,126.625,1.0,0.0,0.921875,1.84375,0.921875,0.0,0.0,0.0,0.921875,0.0,37.796875,35.84375,0.0,45.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.4609375,0.0,0.0,0.0,0.0,3,3 1
