generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_damage,mean_gate_distance,success_rate,champion_id,elite_ids
0,-3.026184558868408,-4.49946928024292,-12.692594528198242,145.1999969482422,1.0,0.0,0.0,5.25,18.375,0.0,3,3 4
1,43.43195343017578,40.59387969970703,29.277629852294922,198.39999389648438,1.0,0.0,0.0,5.6875,22.375,0.0,4,4 3
2,39.72197723388672,35.923248291015625,25.615747451782227,183.8000030517578,1.0,0.0,0.0,5.5,23.09375,0.0,4,4 2
3,90.80535888671875,86.60026550292969,73.70276641845703,221.8000030517578,1.0,0.0,0.0,6.53125,29.09375,0.0,4,4 2
4,79.87242889404297,78.46089935302734,65.93245697021484,202.1999969482422,1.0,0.0,0.0,5.8125,18.34375,0.0,4,4 2
5,119.16712951660156,114.51314544677734,101.4703369140625,209.1999969482422,1.0,0.0,0.0,5.96875,23.09375,0.0,4,4 2
6,104.7752914428711,101.95997619628906,87.25090026855469,235.60000610351562,1.0,0.0,0.0,5.84375,18.34375,0.0,4,4 2
7,153.5555419921875,149.36282348632812,133.06471252441406,253.1999969482422,1.0,0.0,1.0,6.25,24.0,0.0,4,4 3
8,175.7161407470703,171.61004638671875,153.7366180419922,276.6000061035156,1.0,0.0,1.0,6.4375,27.28125,0.0,4,4 2
9,170.50840759277344,166.3913116455078,148.53817749023438,286.3999938964844,1.0,0.0,1.0,6.46875,32.75,0.0,4,4 3
10,176.62405395507812,171.6422882080078,152.6863555908203,305.6000061035156,1.0,0.0,1.0,6.53125,32.3125,0.0,4,4 2
11,172.9837646484375,170.4027099609375,149.1311492919922,348.79998779296875,1.0,0.0,1.0,6.6875,41.125,0.0,4,4 2
12,207.20249938964844,203.53665161132812,179.81008911132812,387.0,1.0,0.0,1.0,6.9375,42.21875,0.0,4,4 3
13,162.70907592773438,158.121337890625,138.3610382080078,328.6000061035156,1.0,0.0,1.0,6.65625,37.40625,0.0,4,4 2
14,190.1771697998047,187.7377166748047,165.6446075439453,367.0,1.0,0.0,1.0,6.90625,41.71875,0.0,2,2 0
15,226.95384216308594,225.0521697998047,196.34310913085938,496.3999938964844,1.0,0.0,1.0,7.0,46.65625,0.0,4,4 3
16,237.46949768066406,233.8587646484375,207.0393829345703,453.6000061035156,1.0,0.0,1.0,7.0,44.0625,0.0,2,2 3
17,296.05499267578125,293.6490783691406,264.4281311035156,484.3999938964844,1.0,0.0,1.0,6.96875,38.0625,0.0,4,4 3
18,292.7405090332031,289.2361755371094,259.828369140625,488.20001220703125,1.0,0.0,1.0,6.96875,39.09375,0.0,4,4 2
19,275.2389221191406,271.6048278808594,246.3998565673828,404.6000061035156,1.0,0.0,1.0,6.75,35.59375,0.0,4,4 0
20,320.1079406738281,317.7669982910156,287.7091979980469,496.0,1.0,0.0,1.0,7.0,38.84375,0.0,4,4 0
21,318.379150390625,316.4062194824219,286.40655517578125,494.79998779296875,1.0,0.0,1.0,7.0,38.46875,0.0,2,2 0
22,301.8352966308594,296.85552978515625,267.63836669921875,482.0,1.0,0.0,1.0,7.0,37.75,0.0,4,4 2
23,298.9683532714844,296.87469482421875,267.90655517578125,476.6000061035156,1.0,0.0,1.0,7.0,38.34375,0.0,4,4 0
24,205.1776580810547,200.65492248535156,172.95460510253906,473.79998779296875,1.0,0.0,1.0,7.0,44.78125,0.0,2,2 4
25,261.9713439941406,258.5553894042969,229.6663360595703,485.20001220703125,1.0,0.0,1.0,7.0,40.0625,0.0,0,0 1
26,246.0178680419922,244.34591674804688,217.16342163085938,451.20001220703125,1.0,0.0,1.0,6.96875,37.03125,0.0,4,4 0
27,246.72616577148438,243.4407196044922,219.04757690429688,392.79998779296875,1.0,0.0,1.0,6.9375,34.09375,0.0,3,3 2
28,243.71371459960938,239.090576171875,213.36306762695312,416.79998779296875,1.0,0.0,1.0,7.0,36.28125,0.0,4,4 2
29,255.98056030273438,252.2229461669922,225.77389526367188,436.3999938964844,1.0,0.0,1.0,7.0,37.4375,0.0,3,3 4
30,200.3350372314453,198.6602325439453,173.6249237060547,430.79998779296875,1.0,0.0,1.0,6.9375,40.65625,0.0,2,2 3
31,235.77255249023438,232.31021118164062,203.09646606445312,499.0,1.0,0.0,1.0,7.0,40.34375,0.0,4,4 2
32,205.08978271484375,200.43016052246094,176.4745330810547,404.0,1.0,0.0,1.0,6.96875,42.53125,0.0,4,4 3
33,177.19224548339844,175.04617309570312,152.69773864746094,376.79998779296875,1.0,0.0,1.0,6.90625,43.84375,0.0,2,2 4
34,148.93991088867188,144.3734130859375,125.47029876708984,328.6000061035156,1.0,0.0,0.0,6.78125,50.71875,0.0,3,3 2
35,208.97174072265625,205.4611358642578,179.47518920898438,457.0,1.0,0.0,0.0,6.96875,45.375,0.0,2,2 4
36,279.2442321777344,276.05462646484375,245.2308807373047,533.7999877929688,1.0,0.0,1.0,7.0,40.5,0.0,2,2 4
37,216.3807830810547,212.94570922851562,186.2685089111328,463.3999938964844,1.0,0.0,1.0,7.0,45.8125,0.0,2,2 4
38,246.171630859375,242.5380096435547,215.46896362304688,443.79998779296875,1.0,0.0,1.0,6.96875,37.90625,0.0,2,2 3
39,247.85108947753906,243.7606201171875,217.9674835205078,423.79998779296875,1.0,0.0,1.0,6.78125,40.125,0.0,3,3 2
40,190.03895568847656,186.66275024414062,160.5211639404297,452.6000061035156,1.0,0.0,1.0,7.0,45.28125,0.0,3,3 2
41,167.8035888671875,165.74227905273438,140.65133666992188,444.79998779296875,1.0,0.0,0.0,6.78125,49.1875,0.0,4,4 2
42,268.53265380859375,265.68707275390625,235.6564483642578,505.3999938964844,1.0,0.0,1.0,7.0,37.59375,0.0,4,4 0
43,223.99827575683594,221.6074676513672,196.10403442382812,424.79998779296875,1.0,0.0,1.0,7.0,42.53125,0.0,2,2 4
44,312.52667236328125,308.413818359375,282.17633056640625,422.20001220703125,1.0,0.0,1.0,7.0,37.15625,0.0,4,4 3
45,322.624267578125,321.0984802246094,287.50909423828125,566.5999755859375,1.0,0.0,1.0,7.0,35.53125,0.0,4,4 3
46,292.0293273925781,289.89801025390625,256.89178466796875,557.2000122070312,1.0,0.0,1.0,7.03125,34.9375,0.0,4,4 2
47,320.1192626953125,317.80804443359375,283.49151611328125,581.0,1.0,0.0,1.0,7.0,34.96875,0.0,3,3 2
48,295.0386657714844,293.73492431640625,258.8536376953125,588.5999755859375,1.0,0.0,1.0,7.34375,29.59375,0.0,1,1 4
49,295.33428955078125,293.95062255859375,257.045654296875,626.7999877929688,1.0,0.0,1.0,7.34375,31.21875,0.0,3,3 4
50,274.83935546875,273.6347961425781,237.9535369873047,610.5999755859375,1.0,0.0,1.0,7.0,35.3125,0.0,1,1 2
51,252.4056854248047,250.63455200195312,214.74923706054688,601.4000244140625,1.0,0.0,1.0,7.3125,17.53125,0.0,1,1 4
52,257.20599365234375,255.22164916992188,219.16891479492188,600.2000122070312,1.0,0.0,1.0,7.831250190734863,21.5,0.0,1,1 3
53,258.4338684082031,257.4391174316406,221.0571746826172,577.0,1.0,0.0,2.0,7.887499809265137,16.34375,0.0,3,3 1
54,287.7206115722656,283.6632995605469,244.2091827392578,574.7999877929688,1.0,0.0,2.0,10.606249809265137,13.34375,0.0,1,1 4
55,254.2460174560547,252.86929321289062,216.0381317138672,609.7999877929688,1.0,0.0,1.0,7.443749904632568,20.84375,0.0,1,1 4
56,267.79986572265625,264.17547607421875,224.76712036132812,625.2000122070312,1.0,0.0,2.0,7.706250190734863,15.8125,0.0,1,1 4
57,286.71917724609375,284.5245361328125,246.35623168945312,639.5999755859375,1.0,0.0,1.0,7.256249904632568,30.21875,0.0,1,1 4
58,292.54388427734375,289.8101501464844,251.8001251220703,650.0,1.0,0.0,1.0,7.0,33.84375,0.0,1,1 3
59,326.85662841796875,322.9978942871094,281.8628845214844,650.0,1.0,0.0,2.0,7.0,23.28125,0.0,1,1 4
60,334.0549011230469,332.67864990234375,292.01416015625,640.0,1.0,0.0,2.0,7.087500095367432,23.75,0.0,1,1 3
61,313.94830322265625,311.2160339355469,270.0361633300781,640.5999755859375,1.0,0.0,2.0,7.131249904632568,19.75,0.0,1,1 4
62,317.294189453125,316.2777404785156,276.14739990234375,615.7999877929688,1.0,0.0,2.0,7.4375,20.1875,0.0,1,1 3
63,296.36566162109375,294.7264099121094,254.38003540039062,620.4000244140625,1.0,0.0,2.0,7.306250095367432,17.875,0.0,1,1 4
64,322.0824279785156,320.9337463378906,280.91314697265625,614.5999755859375,1.0,0.0,2.0,7.175000190734863,19.09375,0.0,1,1 4
65,350.1749267578125,349.40264892578125,310.0074462890625,602.4000244140625,1.0,0.0,2.0,7.131249904632568,17.75,0.0,1,1 4
66,319.26043701171875,318.052978515625,277.63983154296875,623.0,1.0,0.0,2.0,7.0,23.03125,0.0,3,3 2
67,338.24224853515625,337.77044677734375,297.1269226074219,627.5999755859375,1.0,0.0,2.0,7.043749809265137,22.65625,0.0,3,3 1
68,345.794921875,344.43682861328125,304.51849365234375,612.4000244140625,1.0,0.0,2.0,7.131249904632568,22.9375,0.0,1,1 3
69,351.8399353027344,349.162353515625,309.36834716796875,609.2000122070312,1.0,0.0,2.0,7.393750190734863,19.09375,0.0,1,1 0
70,389.6975402832031,387.8334045410156,346.8153381347656,634.5999755859375,1.0,0.0,2.0,7.175000190734863,21.75,0.0,4,4 0
71,377.3948974609375,375.9155578613281,334.6449890136719,639.4000244140625,1.0,0.0,2.0,7.175000190734863,22.96875,0.0,1,1 4
72,386.1668701171875,382.89874267578125,341.13873291015625,650.0,1.0,0.0,2.0,7.0,22.71875,0.0,1,1 3
73,355.0635070800781,353.35101318359375,313.8291320800781,603.4000244140625,1.0,0.0,2.0,7.5,20.25,0.0,1,1 4
74,367.04974365234375,365.17767333984375,323.6105041503906,646.2000122070312,1.0,0.0,2.0,7.0,23.59375,0.0,1,1 3
75,374.66986083984375,370.3232116699219,328.65826416015625,647.4000244140625,1.0,0.0,2.0,7.175000190734863,23.40625,0.0,1,1 3
76,374.6792297363281,372.64862060546875,330.88861083984375,650.0,1.0,0.0,2.0,7.0,24.25,0.0,1,1 3
77,353.3937072753906,349.31524658203125,308.1382751464844,638.0,1.0,0.0,2.0,7.043749809265137,23.40625,0.0,1,1 4
78,393.0913391113281,391.56695556640625,350.2147521972656,642.0,1.0,0.0,2.0,7.0,22.59375,0.0,3,3 1
79,361.5540771484375,358.34222412109375,316.58221435546875,650.0,1.0,0.0,2.0,7.0,23.9375,0.0,1,1 4
80,290.2934875488281,287.1097106933594,247.83566284179688,603.0,1.0,0.0,2.0,7.0,25.375,0.0,1,1 4
81,318.1793518066406,315.7765197753906,276.61761474609375,602.7999877929688,1.0,0.0,2.0,7.087500095367432,24.5,0.0,1,1 3
82,334.7688903808594,332.9903869628906,292.62542724609375,621.5999755859375,1.0,0.0,2.0,7.175000190734863,20.75,0.0,1,1 4
83,367.63299560546875,366.2098693847656,326.7342529296875,612.0,1.0,0.0,2.0,7.0,20.90625,0.0,1,1 4
84,379.6454772949219,376.83172607421875,335.4576721191406,642.4000244140625,1.0,0.0,2.0,7.0,21.28125,0.0,1,1 4
85,389.188720703125,385.85321044921875,344.28509521484375,646.2000122070312,1.0,0.0,2.0,7.0,21.0625,0.0,1,1 4
86,398.6925964355469,396.7023620605469,355.1996154785156,644.2000122070312,1.0,0.0,2.0,7.175000190734863,19.25,0.0,1,1 4
87,381.0255432128906,380.5307312011719,341.23760986328125,605.5999755859375,1.0,0.0,2.0,7.0,21.75,0.0,1,1 3
88,389.5924987792969,387.2820129394531,346.32952880859375,633.5999755859375,1.0,0.0,2.0,7.0,18.78125,0.0,1,1 3
89,377.997314453125,377.2866516113281,336.3691101074219,633.2000122070312,1.0,0.0,2.0,7.0,18.71875,0.0,1,1 4
90,367.98516845703125,365.13330078125,324.779541015625,627.0,1.0,0.0,2.0,6.84375,20.3125,0.0,1,1 3
91,336.8582763671875,334.2857971191406,295.6041259765625,590.7999877929688,1.0,0.0,2.0,7.087500095367432,15.90625,0.0,1,1 3
92,351.7939758300781,350.3763732910156,310.3120422363281,616.2000122070312,1.0,0.0,2.0,7.0,18.03125,0.0,1,1 4
93,364.3628845214844,362.8243713378906,324.3123474121094,584.5999755859375,1.0,0.0,2.0,7.087500095367432,19.90625,0.0,3,3 4
94,364.1503601074219,362.3380432128906,322.1133728027344,621.5999755859375,1.0,0.0,2.0,7.0625,18.53125,0.0,1,1 4
95,367.0897521972656,365.58001708984375,324.39794921875,638.0,1.0,0.0,2.0,7.175000190734863,18.78125,0.0,1,1 4
96,360.339111328125,356.8342590332031,316.25054931640625,629.2000122070312,1.0,0.0,2.0,7.0,20.65625,0.0,1,1 3
97,382.0574645996094,381.13067626953125,340.4781494140625,627.7999877929688,1.0,0.0,2.0,7.0,18.65625,0.0,3,3 1
98,376.47113037109375,373.74249267578125,332.8259582519531,633.2000122070312,1.0,0.0,2.0,7.0,18.59375,0.0,1,1 0
99,368.4229736328125,366.6371154785156,326.7030944824219,615.4000244140625,1.0,0.0,2.0,7.175000190734863,20.125,0.0,1,1 4
100,372.9397888183594,371.7548522949219,330.83489990234375,632.0,1.0,0.0,2.0,7.362500190734863,18.625,0.0,1,1 3
101,382.95806884765625,381.43658447265625,339.9729309082031,643.4000244140625,1.0,0.0,2.0,7.175000190734863,19.0,0.0,1,1 3
102,384.99188232421875,383.876953125,343.15570068359375,629.2000122070312,1.0,0.0,2.0,7.0,18.625,0.0,4,4 3
103,361.5260009765625,359.87799072265625,318.30987548828125,646.2000122070312,1.0,0.0,2.0,7.0,19.25,0.0,1,1 4
104,368.37823486328125,365.69000244140625,324.2485656738281,643.2000122070312,1.0,0.0,2.0,7.131249904632568,18.125,0.0,1,1 4
105,321.8843994140625,320.901123046875,281.1180114746094,613.0,1.0,0.0,2.0,7.0,20.5,0.0,3,3 1
106,344.09393310546875,342.1871643066406,301.68939208984375,624.7999877929688,1.0,0.0,2.0,7.0,20.1875,0.0,1,1 3
107,320.53936767578125,318.1181640625,278.27691650390625,616.4000244140625,1.0,0.0,2.0,7.0,21.6875,0.0,1,1 4
108,358.7772216796875,356.79058837890625,315.2221984863281,646.2000122070312,1.0,0.0,2.0,7.0,19.75,0.0,1,1 4
109,371.5379638671875,369.43023681640625,327.9036560058594,645.4000244140625,1.0,0.0,2.0,7.0,19.3125,0.0,1,1 3
110,331.0544738769531,327.5673522949219,287.5095520019531,618.4000244140625,1.0,0.0,2.0,7.0,21.65625,0.0,1,1 3
111,334.64764404296875,331.2388610839844,290.5804443359375,628.0,1.0,0.0,2.0,7.0,21.6875,0.0,1,1 3
